100000;ewgadfhxiciamffrdzon;l3;3
100001;uznefzfiptpgogfbojpp;r6;5
100002;vuptxuxpvsruvdpgxbfw;j0;3
100003;nurvkftqdibecogappcp;g1;5
100004;ykzsectfiwtiuwedbkqe;w9;3
100005;uotyfuwquesejuiiccol;d3;5
100006;ijyibbjgcfmuvqnbnqgm;l5;4
100007;oeojdowrchournpkkzdq;j1;5
100008;dwivsvowooxetxecpnmz;s0;4
100009;miecwsbjqehipjufoxoi;h9;1
100010;iogrhkcuxizyeoedwlwy;t2;5
100011;fdlvsofutukibsikljhq;m1;4
100012;tfyurxmvxjoolhcyapat;a0;1
100013;weexnmehrzsamhvampnv;w1;4
100014;iatmkpzmzghnrdcfvcbp;v7;3
100015;hszyulmjpkjpjtvnqziq;l2;3
100016;jfymcrfhemvorifuslyx;x5;1
100017;ufmptvscimxqcgsycbbr;q7;4
100018;pbvolwciqqrikqfetxhj;g5;3
100019;gsvlcendspedrstqjcim;i9;3
100020;huyjxdylmevawubkjyou;l3;3
100021;mwwcsmqdfdorjnaqdmcl;c6;4
100022;mshfgmvsulftyvjoruhr;g1;3
100023;ncrbktdmxlkxyplzdkiu;e6;4
100024;jfvnthgjpievhbzjlyuz;n6;1
100025;dmsaxcdhoiyqghdzcuhn;v9;2
100026;texhkigwzjtotzwlecws;x2;5
100027;lqtudipnzsmeyoaqndps;k0;4
100028;pzbrczavbovskfphllna;a2;3
100029;wpdtmgtulqgsnconsxbv;x6;3
100030;fzwnufmcvqolasmudejw;m4;2
100031;yhckvorniumkfpcfesax;j9;5
100032;qcyutrpbhurvjyscoakq;i7;1
100033;mrsgzsgnbubtnyzavvpg;q4;1
100034;vehqstzejoxhqemckaha;c2;3
100035;xnagthvhqdterfidjnoj;z1;5
100036;phiebgylhdqhrucglgef;n1;1
100037;zenasbqgrlndtipkjjyn;a0;5
100038;dfkazsbnnnywonzqgcjw;b8;4
100039;atehkmldomfajhteiqqh;a6;1
100040;spsvjiabconpnraloqve;t1;1
100041;nedykouvihsirjfliqod;w2;5
100042;ffnqjqxutfwcognrfdlw;g4;4
100043;lbyvzmlkixoqbcudbmtk;h7;2
100044;kiuiylnepfgtxgbuqxwc;r3;2
100045;ujjhpjoclipqvcdnviwh;x9;1
100046;xpelmxdrnlslbddtxtze;v3;5
100047;aywgehielluhxbmkjhdv;y6;5
100048;hutogqwpcxeiflvdwsvl;k5;3
